"Continent","Android","iOS","Unknown","Samsung"
Guadeloupe ,69.6,29.97,0,0
Lesotho ,92.19,7.59,0,0
Barbados ,65.78,33.77,0,0
Martinique ,69.96,29.48,0,0
Andorra ,28.14,71.73,0,0
Suriname ,75.57,24.22,0,0
New Caledonia ,81.78,18.01,0,0
Jersey ,40.25,59.33,0,0
Guyana ,77.12,22.65,0,0
Isle of Man ,42.4,56.77,0,0
Bhutan ,84.9,14.94,0,0
Guernsey ,44.26,55.42,0,0
Gambia ,78.91,20.68,0,0
Djibouti ,91.14,8.6,0,0
Timor-Leste ,76.53,23.35,0,0
Faroe Islands ,15.89,83.85,0,0
Burundi ,87.83,10.44,1.46,0
Antigua and Barbuda ,53.93,45.22,0,0
Guinea-Bissau ,91.28,8.6,0,0
Saint Lucia ,63.79,35.9,0,0
Cayman Islands ,40.05,59.71,0,0
Guam ,50.38,49.05,0,0
French Guiana ,67.51,31.91,0,0
Cape Verde ,64.74,35.01,0,0
Solomon Islands ,89.29,10.51,0,0
Cook Islands ,36.16,44.18,0,19.67
Saint Kitts and Nevis ,64.45,35.44,0,0
Monaco ,26.88,72.87,0,0
Grenada ,59.86,39.89,0,0
Gibraltar ,41.43,58.36,0,0
Mayotte ,82.34,17.28,0,0
Comoros ,92.39,7.37,0,0
San Marino ,19.91,13.81,0,66.28
Vanuatu ,86.19,13.68,0,0
British Virgin Islands ,39.18,60.55,0,0
Saint Vincent and the Grenadines ,68.02,31.32,0,0
Turks and Caicos Islands ,35.1,64.69,0,0
Liechtenstein ,41.79,58.04,0,0
Central African Republic ,76.45,4.77,18.42,0
Dominica ,73.63,25.97,0,0
Samoa ,82.75,16.7,0,0
Saint Martin ,34.14,65.65,0,0
Greenland ,48.51,51.1,0,0
Northern Mariana Islands ,59.53,40.39,0,0
Sao Tome and Principe ,89.54,10.43,0,0
Anguilla ,32.7,67.1,0,0
Kiribati ,92.42,6.28,0,1.31
Tonga ,72.74,27,0,0
Palau ,67.67,32.3,0,0
Micronesia ,79.35,20.38,0,0
Saint Pierre and Miquelon ,33.52,66.33,0,0
Turkmenistan ,82.39,17.02,0,0
Saint Barthelemy ,10.9,89.1,0,0
Marshall Islands ,58.74,41.23,0,0
Nauru ,81.4,18.59,0,0
Falkland Islands (Malvinas) ,68.63,31.12,0,0
Wallis and Futuna ,49.54,50.42,0,0
Eritrea ,89.43,10.57,0,0
Tuvalu ,78.57,21.43,0,0
Tokelau ,1.73,98.27,0,0
